checklist_id,n_species
G1011558,9
G1011559,11
G1011560,10
G1011561,16
G1011562,13
G1011563,9
G1011564,9
G1011565,7
G1011566,11
G1011567,16
G1011568,11
G1011569,14
G1011570,17
G1011571,14
G1011572,14
G1011573,19
G1011574,10
G1011575,12
G1011576,14
G1011577,8
G1011578,13
G1011579,9
G1011580,11
G1011581,8
G1011582,12
G1011903,57
G1021435,9
G1021443,3
G1042415,50
G1042427,52
G1042450,70
G1042459,71
G1042470,71
G1044489,31
G105679,36
G1057542,2
G1057543,9
G1057571,5
G1057572,6
G1057573,9
G1057574,4
G1057575,14
G1057584,4
G1057609,21
G1057610,22
G1057611,4
G1057612,15
G1057613,10
G1057614,15
G1057821,8
G1057827,4
G1057828,14
G1058076,8
G106329,7
G1063473,31
G106436,4
G106499,6
G106578,32
G107386,1
G107387,1
G107402,15
G107464,9
G107476,6
G107573,34
G1079478,32
G108034,46
G108280,47
G108346,9
G108679,23
G108680,11
G108682,9
G108685,12
G108774,27
G108775,30
G108791,18
G108836,15
G108987,17
G1092518,24
G109287,33
G109355,20
G109542,2
G109543,20
G109544,10
G109712,11
G109733,39
G110019,36
G110020,40
G110070,7
G110071,5
G110072,6
G110073,7
G110074,2
G110075,3
G110208,32
G110406,13
G110407,8
G110498,31
G110716,32
G110735,10
G110755,8
G110756,9
G110961,48
G111089,56
G111090,42
G111117,14
G111118,10
G111120,5
G111121,20
G111218,52
G111477,24
G111478,32
G111611,24
G112172,32
G112173,44
G112541,20
G1126551,7
G113206,45
G113951,33
G1139869,17
G114405,59
G114406,57
G115071,35
G115072,15
G1151817,18
G1158332,52
G1167075,23
G1171770,9
G1171771,15
G1171775,28
G1185028,44
G1190518,41
G1191331,29
G1191332,48
G1191333,48
G1191334,46
G1191335,48
G1191504,40
G1191506,3
G1191507,1
G1192981,21
G1192989,61
G1192991,57
G1195242,6
G120509,27
G1212494,29
G124216,80
G1242352,15
G1245901,57
G1245904,80
G1245911,23
G1245940,26
G1246071,35
G1246308,1
G1247116,70
G1247220,67
G1247364,34
G1247390,26
G1247435,30
G1247440,26
G1247487,3
G1247514,24
G1247551,30
G1247567,3
G1247697,15
G1247698,18
G1247704,38
G1247749,41
G1247857,44
G1247871,18
G1247872,21
G1247873,18
G1248047,28
G1248050,8
G1248704,60
G1248706,27
G1248835,17
G1248836,28
G1248964,7
G1248966,6
G1248971,3
G1249008,23
G1249010,12
G1249437,71
G1249470,15
G1249471,27
G1249472,14
G1249557,81
G1249629,24
G1249840,2
G1249841,24
G1249857,81
G1249883,47
G1250211,28
G1250358,37
G1250668,1
G1250743,28
G1250818,30
G1250830,15
G1250836,15
G1250837,33
G1250861,64
G1250887,19
G1250906,50
G1250949,25
G1250950,24
G1250953,1
G1250965,11
G1251069,62
G125108,34
G1251130,63
G1251147,18
G1251348,5
G1251392,26
G1251529,5
G1251562,9
G1251693,63
G1251740,6
G1251960,48
G1251961,66
G1251964,6
G1251967,9
G1251969,24
G1251995,22
G1252166,26
G1252678,58
G1252747,46
G1252808,69
G1252899,3
G1252923,20
G1253061,30
G1253227,71
G1253271,18
G1254242,43
G1254243,1
G1254267,12
G1254268,10
G1254694,29
G1254698,43
G1254713,52
G1254800,52
G1254860,49
G1255106,11
G1255116,27
G1255325,16
G1255521,7
G1255522,8
G1255909,29
G1255915,7
G1255916,2
G1255917,17
G1255919,38
G1256462,13
G1256476,55
G1256477,21
G1256534,35
G1256545,46
G1256548,24
G1256572,22
G1256656,2
G1257025,1
G1257166,18
G1257181,7
G1257283,17
G1257408,20
G1257409,8
G1257883,6
G1257884,7
G1257885,29
G1258026,14
G1258028,13
G1258123,14
G1258125,7
G1258201,1
G1258479,22
G1258528,5
G1258529,1
G1258530,31
G1258549,27
G1258552,27
G1258564,28
G1258565,17
G1258566,28
G1258647,25
G1258648,20
G1258649,15
G1258650,33
G1258652,35
G1258689,18
G1258690,26
G1258759,28
G1258802,17
G1258803,32
G1258804,4
G1258805,45
G1258829,35
G1258831,19
G1258832,6
G1258941,59
G1258949,14
G1258950,20
G1258951,36
G1258969,12
G1258970,29
G1258971,27
G1258972,12
G1259020,23
G1259047,54
G1259048,16
G1259089,14
G1259122,22
G1259251,30
G1259252,45
G1259253,16
G1259288,20
G1259563,17
G1259564,30
G1259575,44
G1259655,17
G1259656,30
G1259657,28
G1259658,2
G1259660,20
G1259662,42
G1259664,14
G1259665,28
G1259666,20
G1259699,29
G1259765,62
G1259874,12
G1259889,30
G1259988,18
G1259991,8
G1259992,9
G1259993,6
G1259994,11
G1260097,21
G1260100,3
G1260247,11
G1260249,11
G1260250,5
G1260254,13
G1260261,6
G1260279,14
G1260281,40
G1260392,17
G1260395,7
G1260424,32
G1260431,9
G1260435,13
G1260660,41
G1260661,24
G1260662,37
G1260665,5
G1260666,14
G1260667,19
G1260721,24
G1260722,39
G1261197,44
G1261237,32
G1261238,20
G1261239,29
G1261240,26
G1261241,20
G1261242,25
G1261243,41
G1261986,17
G1261990,26
G1261994,8
G1262274,67
G1262428,49
G1263325,44
G1263484,3
G1263485,19
G1263571,40
G1263734,30
G1263813,46
G1263926,11
G1263969,52
G1264241,44
G1264397,14
G1264415,26
G1264481,1
G1264484,12
G1264486,11
G1264488,7
G1264537,4
G1264538,45
G1264540,11
G1264825,4
G1264829,23
G1264830,43
G1264831,46
G1264833,49
G1264838,43
G1265429,20
G1265430,24
G1265431,10
G1265433,40
G1265434,7
G1265436,51
G1265438,13
G1265439,7
G126555,21
G1265764,45
G1265927,11
G1265941,8
G1266239,13
G1266241,10
G1266242,5
G1266676,8
G1266747,44
G1266862,18
G1267124,5
G1267125,29
G1267179,39
G126728,23
G1267333,29
G1267627,47
G1267636,40
G1268203,1
G1268402,32
G1268478,30
G1268536,35
G1268625,33
G1269073,11
G1269074,20
G1269075,1
G1269119,54
G1269129,36
G1269366,17
G1269442,49
G1269636,33
G1269809,17
G1269814,28
G1269816,38
G1269819,11
G1269820,32
G1269821,15
G1269823,23
G1269824,21
G1269985,16
G1269986,11
G1269987,13
G1269988,6
G1269991,13
G1270046,43
G1270073,24
G1270127,6
G1270677,37
G1270761,19
G1270762,25
G1270763,18
G1270764,6
G1270765,11
G1270766,11
G1270767,7
G1270768,10
G1270769,8
G1270770,13
G1270771,18
G1270772,7
G1270773,10
G1270774,11
G1270775,12
G1270777,13
G1270778,10
G1270779,7
G1270780,9
G1270781,15
G1270928,11
G1270929,6
G1271130,26
G1271134,20
G1271136,12
G1271434,11
G1272062,34
G1272070,50
G1272072,54
G1272319,30
G1272826,60
G1272952,80
G1273112,31
G1273153,54
G1273187,20
G1273200,20
G1273345,24
G1273389,75
G1273431,67
G1273500,39
G1273507,9
G1273508,23
G1273513,60
G1273587,21
G1273747,34
G1274003,31
G1274004,34
G1274195,8
G1274261,19
G1274541,3
G1274858,35
G1274862,32
G1274882,45
G1275046,33
G1275048,26
G1275245,38
G1275259,3
G1275260,17
G1275612,24
G1275671,31
G1275973,36
G1276261,13
G1276312,6
G1276319,27
G1276586,26
G1276588,4
G1276589,11
G1276867,33
G1277076,31
G1277208,16
G1277758,41
G1277922,22
G1277936,35
G1277987,101
G1278157,5
G1278158,45
G1278160,27
G1278399,17
G1278406,17
G1278416,32
G1278541,39
G1278719,10
G1279182,18
G1279209,19
G1279254,13
G1279255,23
G1279256,12
G1279257,9
G1279442,43
G1279727,32
G1279958,39
G1280001,8
G1280413,8
G1280581,15
G1280582,7
G1280584,14
G1280585,10
G1280586,10
G1280645,8
G1280764,27
G1280794,9
G1280875,48
G1281109,18
G1281551,57
G1281552,15
G1281818,14
G1282262,26
G1282663,34
G1284490,30
G1284581,41
G1284582,41
G1284610,27
G1284855,13
G1285110,12
G1285113,14
G1285220,61
G1285274,22
G1285374,14
G1285792,31
G1285795,17
G1285796,24
G1285797,37
G1285798,20
G1285800,22
G1285802,43
G1285804,31
G1285805,29
G1285807,6
G1285834,20
G1285835,10
G1285836,6
G1285837,12
G1285838,13
G1285839,20
G1285840,17
G1285965,12
G1286033,46
G1286058,34
G1286069,6
G1286070,39
G1286475,9
G1286729,51
G1287002,55
G1287192,42
G1287326,31
G1287355,31
G1287423,17
G1287869,20
G1287988,53
G1288065,41
G1288161,56
G1288263,19
G1288573,34
G1288576,30
G1288578,17
G1288670,32
G1288791,13
G1288830,8
G1288856,9
G1289114,33
G1289319,21
G1289394,34
G1289460,45
G1289579,62
G1289583,65
G1289812,42
G1290660,29
G1290661,32
G1290662,10
G1290664,57
G1290771,16
G1291512,42
G1291947,5
G1292320,15
G1292399,7
G1292400,7
G1292401,4
G1292402,7
G1292403,12
G1292404,11
G1292405,12
G1292406,1
G1292407,12
G1292408,5
G1292409,5
G1292787,54
G1292826,25
G1292827,28
G1293392,59
G1293533,22
G1293570,40
G1293571,14
G1293572,21
G1293819,61
G1293820,61
G1293898,18
G1293899,10
G1293900,20
G1293901,14
G1293903,22
G1294124,26
G1294125,31
G1294126,3
G1294129,11
G1294130,26
G1294131,18
G1294171,54
G1294315,31
G1294320,70
G1295088,36
G1295094,5
G1295095,5
G1295096,20
G1295340,30
G1295349,15
G1295582,23
G1295583,39
G1295704,32
G1295904,3
G1295961,48
G1296256,45
G1296304,27
G1296354,43
G1296557,47
G1296558,10
G1296559,14
G1296667,31
G1297083,34
G1297173,48
G1297229,36
