checklist_id,n_species
G1011558,9
G1011559,11
G1011560,10
G1011561,16
G1011562,13
G1011563,9
G1011564,9
G1011565,7
G1011566,11
G1011567,16
G1011568,11
G1011569,14
G1011570,17
G1011571,14
G1011572,14
G1011573,19
G1011574,10
G1011575,12
G1011576,14
G1011577,8
G1011578,13
G1011579,9
G1011580,11
G1011581,8
G1011582,12
G1021435,9
G1021443,3
G1044489,31
G1057542,2
G1057543,9
G1057584,4
G1057821,8
G1057827,4
G1057828,14
G107573,34
G1079478,32
G110075,3
G110208,32
G110406,13
G110407,8
G110498,31
G110716,32
G110735,10
G110755,8
G110756,9
G110961,49
G111089,56
G111090,42
G111117,14
G111118,10
G111120,5
G111121,20
G111218,52
G111477,24
G111478,32
G111611,24
G112172,32
G112173,44
G112541,20
G113206,45
G1139869,17
G114405,59
G114406,57
G1151817,18
G1167075,23
G1171770,9
G1171771,15
G1171775,28
G1185028,44
G1191331,29
G1191332,48
G1191333,48
G1191334,46
G1191335,48
G1191504,40
G1191506,3
G1192981,21
G1195242,6
G1212494,29
G1242352,15
G1298974,11
G1298979,9
G1299426,46
G1299427,28
G1299448,17
G1299525,35
G1299528,13
G1299696,10
G1300731,8
G1300732,20
G1300738,43
G1301048,41
G1301231,31
G1301781,75
G1302103,20
G1302636,2
G1302637,34
G1302638,10
G1302826,22
G1302827,36
G1302898,36
G1302899,13
G1303361,37
G1303378,37
G1303909,10
G1303938,39
G1304144,13
G1304222,8
G1304389,8
G1304390,13
G1304473,23
G1304920,36
G1304950,58
G1305193,36
G1305217,18
G1305278,23
G1305451,12
G1305976,14
G1306052,41
G1306133,21
G1306134,40
G1306221,56
G1306654,55
G1306667,7
G1306668,10
G1306686,25
G1306689,17
G1306703,7
G1306704,18
G1306839,46
G1307420,22
G1307668,20
G1307808,5
G1308136,23
G1308137,6
G130823,4
G130840,4
G1308521,22
G1308764,14
G1309157,37
G1309305,31
G1309442,31
G1309461,20
G1309594,14
G1309596,31
G1309598,7
G1310196,21
G1310445,42
G1310614,39
G1311346,21
G1312001,28
G1312224,39
G1312641,45
G1312642,14
G1312796,11
G1312806,27
G1312903,57
G1312905,66
G1312906,49
G1312907,26
G1312967,6
G1312968,7
G1313723,18
G1313735,49
G1314216,38
G1314218,30
G1314220,26
G1314222,25
G1314431,2
G1314433,1
G1314436,1
G1314439,25
G1314441,19
G1314442,25
G1314531,45
G1314532,65
G1314533,48
G1314614,38
G1314640,48
G1314664,3
G1314665,18
G1314666,25
G1314667,16
G1314668,4
G1314669,12
G1314670,12
G1314671,9
G1314673,10
G1314674,13
G1314675,13
G1314676,3
G1314800,39
G1314851,60
G1315281,20
G1315312,12
G1315800,27
G1315801,26
G1316050,36
G1316265,30
G1316401,47
G1316482,27
G1316501,31
G1317079,16
G1317416,51
G1318876,12
G1318877,23
G1318889,50
G1318951,47
G1319218,39
G1319436,10
G1320031,26
G1320032,18
G1320057,7
G1320324,22
G1320483,30
G1320819,49
G1321173,14
G1321239,36
G1321301,51
G1321355,27
G1321386,31
G1321895,16
G1321907,42
G1322185,30
G1322215,5
G1322216,12
G1322217,21
G1322218,15
G1322219,5
G1322740,41
G1322953,35
G1323029,40
G1323034,8
G1323288,22
G1324138,22
G1324139,31
G1324187,18
G1324294,44
G1324480,20
G1324798,7
G1324799,13
G1324801,15
G1325066,25
G1325067,18
G1325126,28
G1325845,6
G1325846,24
G1325912,15
G1326210,45
G1326727,32
G1326728,21
G1326743,9
G1327126,25
G1328019,53
G1328337,21
G1328743,46
G1328883,12
G1328884,10
G1328889,18
G1329104,10
G1329105,3
G1329106,20
G1329107,8
G1329108,15
G1329110,34
G1329562,22
G1329607,12
G1329609,17
G1329684,26
G1329722,29
G1329797,3
G1329798,23
G1329799,24
G1329800,4
G1329801,7
G1329802,7
G1329936,36
G1329942,34
G1330336,27
G1330361,11
G1330363,14
G1330759,35
G1330760,20
G1330781,19
G1331285,39
G1331558,21
G1331767,8
G1331777,25
G1331788,23
G1332050,29
G1332147,33
G1332641,27
G1332642,40
G1332643,11
G1332652,22
G1334190,17
G1334191,11
G1334545,15
G1336261,49
G1336558,33
G1336559,30
G1336560,15
G1336561,6
G1336562,19
G1336563,30
G1337890,20
G1337904,11
G1338748,23
G1338749,17
G1339034,18
G1339037,27
G1339919,15
G1343262,12
G1348265,15
G1356053,25
G1361245,12
G1361246,29
G1361247,39
G1361248,26
G1373467,23
G1375928,39
G1381735,7
G1397062,52
G1399647,12
G1431883,15
G1454765,24
G1478912,27
G1484525,36
G1526969,12
G155899,40
G155900,29
G1580125,3
G1583085,43
G1583086,52
G1598658,2
G1598659,3
G1598662,16
G1598701,4
G166864,17
G166865,26
G166866,36
G166867,29
G169382,6
G169392,19
G169407,18
G173640,23
G173641,42
G173729,10
G174487,13
G174489,21
G174491,14
G174496,31
G174628,4
G174630,25
G174632,12
G174633,13
G174997,48
G175021,60
G175229,26
G175314,24
G175334,13
G175609,37
G175941,67
G176168,1
G176199,38
G176203,13
G176204,34
G176205,26
G176206,21
G176216,25
G176339,42
G176388,27
G176498,15
G176499,27
G176501,20
G176564,23
G176565,26
G176745,36
G176746,12
G176756,66
G176772,50
G176783,44
G176983,54
G177083,15
G177367,20
G177368,22
G177369,8
G177370,15
G177371,23
G177372,17
G177373,11
G177582,58
G177671,41
G177672,4
G177753,26
G177755,30
G177756,24
G177758,2
G177967,36
G178153,63
G178177,45
G178261,13
G178264,13
G178429,28
G178482,15
G178497,9
G178966,56
G179061,15
G179062,29
G179064,12
G179065,36
G179066,8
G179067,19
G179162,17
G179299,44
G1794045,9
G1794058,33
G1794080,42
G1794199,22
G1794388,8
G1794613,17
G1795055,11
G1795056,9
G1795057,6
G1795058,7
G1795060,7
G1795061,12
G1795062,11
G1795063,14
G1795513,36
G1795515,8
G1795897,30
G1795903,10
G1795921,29
G1796291,11
G1796786,38
G1796966,27
G1797133,36
G1797138,17
G1797139,50
G1797599,49
G1797718,45
G1797856,16
G1797857,16
G1797928,16
G1798119,2
G179823,21
G1798258,36
G1798720,11
G1798801,34
G1798802,12
G1798805,31
G1798881,29
G1798882,27
G1799340,2
G1799341,7
G1799426,21
G1799427,25
G1799432,14
G1799434,39
G1799719,13
G1799720,20
G1799721,26
G1799740,36
G1799745,17
G1799792,18
G1799793,41
G1799794,10
G1799795,4
G1800008,41
G1800296,12
G1800297,20
G1800299,10
G1800300,2
G1800301,26
G1800302,1
G1800304,5
G1800316,12
G1800408,12
G1800507,29
G1800509,47
G1800517,26
G1800530,25
G1800909,39
G1800910,22
G1801000,29
G1801609,13
G1801668,7
G1801670,2
G1801721,11
G1801723,5
G1801754,16
G1801764,8
G1801766,29
G1801769,7
G1801812,21
G1801821,60
G1801922,23
G1801926,20
G1801931,24
G1801932,29
G1801958,8
G1802018,43
G1802031,4
G1802082,40
G1802357,17
G1802359,2
G1802361,32
G1802362,31
G1802365,44
G1802655,7
G1802656,32
G1802658,4
G1802907,2
G1802938,27
G1803010,6
G1803057,60
G1803058,1
G1803333,44
G1803492,15
G1803567,24
G1803569,20
G1803571,22
G1803917,31
G1803918,32
G1803919,23
G1803920,19
G1804002,25
G1804060,4
G1804061,3
G1804062,7
G1804389,25
G1804391,15
G1804392,8
G1804396,21
G1804426,13
G1804427,18
G1804428,49
G1804571,29
G1804637,6
G1804639,17
G1804640,5
G1804713,44
G1804894,33
G1804943,73
G1804967,21
G1805119,50
G1805177,36
G1805973,40
G1806097,23
G1806098,29
G1806102,4
G1806104,17
G1806105,3
G1806107,10
G1806109,15
G1806134,26
G1806135,6
G1806136,11
G1806137,22
G1806138,16
G1806254,23
G1806375,37
G1806378,52
G1806524,22
G1806554,22
G1806584,44
G1806613,20
G1806684,24
G1806685,17
G1806686,16
G1806687,22
G1807284,59
G1807356,1
G1807438,1
G1807728,23
G1807871,23
G1808423,48
G1808472,40
G1808476,29
G1808483,16
G1808712,13
G1809145,20
G1809151,5
G1809152,20
G1809153,22
G1809154,5
G1809155,8
G1809157,13
G1809158,20
G1809172,47
G1809187,18
G1809190,6
G1809191,12
G1809196,14
G1809198,12
G1809199,11
G1809200,16
G1809201,8
G1809205,14
G1809384,14
G1809673,11
G1809674,4
G1809675,6
G1809676,14
G1809811,18
G1809812,49
G1809891,47
G1809978,47
G1810022,10
G1810039,47
G1810081,25
G1810096,31
G1810103,44
G1810116,20
G1810129,6
G1810180,10
G1810973,16
G1811118,32
G1811135,18
G1811144,23
G1811154,4
G1811682,45
G1811702,51
G1811897,18
G1811898,14
G1811916,8
G1811918,24
G1811919,15
G1811922,17
G1812263,11
G1812264,16
G1812265,6
G1812282,33
G1812423,1
G1812487,16
G1812511,34
G1812512,27
G1812784,25
G1812804,19
G1812812,27
G1812878,23
G1813297,29
G1813298,6
G1813341,17
G1813342,9
G1813542,3
G1813558,2
G1813559,1
G1813561,3
G1813563,4
G1813565,4
G1813567,4
G1813568,3
G1813570,3
G1813572,6
G1813577,43
G1813584,28
G1814136,30
G1814499,5
G1814500,8
G1814501,4
G1814503,6
G1814504,8
G1814505,5
G1814626,9
G1814637,5
G1814660,5
G1814661,51
G1814663,24
G1814664,31
G1814670,27
G1814674,25
G1814765,45
G1814876,32
G1814877,18
G1815103,6
G1815107,8
G1815124,9
G1815128,6
G1815137,11
G1815138,4
G1815143,4
G1815146,7
G1815408,17
