"checklist_id" "observer_id" "sampling_event_identifier" "species_observed" "state_code" "locality_id" "latitude" "longitude" "protocol_type" "all_species_reported" "observation_date" "time_observations_started" "duration_minutes" "effort_distance_km" "number_observers" "norbob" "whiibi" "woothr" "bbs"
"S46074995" "obs662606" "S46074995" FALSE "US-MS" "L7206023" 30.349914 -88.517803 "Stationary" TRUE "2018-05-27" 12.4166666666667 55 0 1 0 0 0 0
"S46700397" "obs587227" "S46700397" FALSE "US-FL" "L7569181" 30.1138522 -81.7893876 "Stationary" TRUE "2018-06-21" 13.75 1 0 2 0 0 0 0
"S46646208" "obs197280" "S46646208" FALSE "US-SC" "L6936703" 32.8978654 -79.911519 "Traveling" TRUE "2018-06-18" 19.4166666666667 22 0.772 1 0 0 0 0
"S45173826" "obs902649" "S45173826" FALSE "US-VA" "L6640823" 37.6030803 -76.4639211 "Stationary" TRUE "2018-05-01" 14.5 90 0 1 0 0 0 0
"S45146480" "obs336206" "S45146480" FALSE "US-VA" "L7315461" 36.581634 -75.886943 "Traveling" TRUE "2018-05-01" 13.5833333333333 13 0.505 1 0 0 0 0
"S45222388" "obs333452" "S45222388" TRUE "US-NC" "L2868758" 35.1483431 -76.6447985 "Traveling" TRUE "2018-05-03" 15.8333333333333 9 2.253 1 3 NA NA 0
"S45222388" "obs333452" "S45222388" FALSE "US-NC" "L2868758" 35.1483431 -76.6447985 "Traveling" TRUE "2018-05-03" 15.8333333333333 9 2.253 1 NA 0 0 0
"S45135713" "obs290599" "S45135713" FALSE "US-AL" "L7175671" 31.2185244 -85.2482676 "Traveling" TRUE "2018-05-01" 8.28333333333333 18 0.161 1 0 0 0 0
"S45221544" "obs332911" "S45221544" FALSE "US-FL" "L1657508" 30.3034419 -81.579693 "Stationary" TRUE "2018-05-03" 15.1333333333333 27 0 1 0 0 0 0
"S45146420" "obs175724" "S45146420" TRUE "US-GA" "L778849" 32.3583333 -81.7955556 "Stationary" TRUE "2018-05-01" 14.2833333333333 40 0 1 2 NA NA 0
"S45146420" "obs175724" "S45146420" FALSE "US-GA" "L778849" 32.3583333 -81.7955556 "Stationary" TRUE "2018-05-01" 14.2833333333333 40 0 1 NA 0 0 0
"S45146518" "obs336206" "S45146518" FALSE "US-VA" "L7315461" 36.581634 -75.886943 "Stationary" TRUE "2018-05-01" 10 120 0 1 0 0 0 0
"S45159269" "obs996202" "S45159269" FALSE "US-VA" "L6684466" 37.6247346 -77.4235495 "Stationary" TRUE "2018-05-01" 8.25 10 0 1 0 0 0 0
"S45167452" "obs143809" "S45167452" FALSE "US-MS" "L1041517" 34.9149332 -88.2466507 "Traveling" TRUE "2018-05-01" 15.8833333333333 49 3.782 1 0 0 0 0
"S45221608" "obs86529" "S45221608" FALSE "US-GA" "L5381900" 31.3724094 -81.4361666 "Stationary" TRUE "2018-05-03" 15.3666666666667 15 0 1 0 0 0 0
"S45149336" "obs751869" "S45149336" FALSE "US-NC" "L7316348" 34.808189 -78.6515601 "Stationary" TRUE "2018-05-01" 16.5 1 0 6 0 0 0 0
"S45216608" "obs564286" "S45216608" FALSE "US-SC" "L6353760" 32.986173 -80.070704 "Traveling" TRUE "2018-05-03" 11.9 66 1.609 1 0 0 0 0
"S45150578" "obs619281" "S45150578" FALSE "US-LA" "L7316623" 30.298482 -89.709627 "Traveling" TRUE "2018-05-01" 15.9166666666667 13 0.173 1 0 0 0 0
"S45220495" "obs89308" "S45220495" FALSE "US-AL" "L5142411" 30.6854811 -88.0506692 "Traveling" TRUE "2018-05-03" 11.3333333333333 25 2.414 1 0 0 0 0
"S45142146" "obs761794" "S45142146" FALSE "US-SC" "L6842267" 33.199178 -79.980808 "Stationary" TRUE "2018-05-01" 12 10 0 1 0 0 0 0
"S45136541" "obs312088" "S45136541" FALSE "US-VA" "L1320412" 37.2667353 -76.7241626 "Traveling" TRUE "2018-05-01" 9 62 2.012 1 0 0 NA 0
"S45136541" "obs312088" "S45136541" TRUE "US-VA" "L1320412" 37.2667353 -76.7241626 "Traveling" TRUE "2018-05-01" 9 62 2.012 1 NA NA 3 0
"S45231391" "obs208898" "S45231391" FALSE "US-FL" "L855663" 30.4628978 -84.1387296 "Stationary" TRUE "2018-05-03" 7 19 0 1 0 0 0 0
"S45141355" "obs752501" "S45141355" FALSE "US-GA" "L7315114" 32.4725922 -81.7787563 "Traveling" TRUE "2018-05-01" 11.8 43 2.205 1 0 0 0 0
"S45261028" "obs1052845" "S45261028" FALSE "US-SC" "L7917568" 33.5527098 -79.0625687 "Stationary" TRUE "2018-05-04" 17 150 0 2 0 0 0 0
"S45222546" "obs527783" "S45222546" TRUE "US-VA" "L849175" 37.9434529 -76.8891907 "Traveling" TRUE "2018-05-03" 14.1666666666667 113 3.846 1 1 NA 1 0
"S45222546" "obs527783" "S45222546" FALSE "US-VA" "L849175" 37.9434529 -76.8891907 "Traveling" TRUE "2018-05-03" 14.1666666666667 113 3.846 1 NA 0 NA 0
"S45134308" "obs244839" "S45134308" FALSE "US-NC" "L5235654" 35.2317 -79.1403 "Stationary" TRUE "2018-05-01" 7 20 0 1 0 0 0 0
"S45198651" "obs1052845" "S45198651" FALSE "US-SC" "L7917568" 33.5527098 -79.0625687 "Stationary" TRUE "2018-05-02" 10.2 120 0 1 0 0 0 0
"S45145407" "obs194026" "S45145407" FALSE "US-VA" "L2319611" 36.7493167 -76.0536075 "Traveling" TRUE "2018-05-01" 12.8333333333333 90 1.609 2 0 0 0 0
"S45138770" "obs1042570" "S45138770" FALSE "US-NC" "L6976087" 36.25444 -76.027871 "Stationary" TRUE "2018-05-01" 6.81666666666667 265 0 1 0 0 0 0
"S45142599" "obs673702" "S45142599" FALSE "US-AL" "L4101510" 31.845389 -85.147195 "Traveling" TRUE "2018-05-01" 11.5333333333333 32 1.208 1 0 0 0 0
"S45215614" "obs272192" "S45215614" FALSE "US-FL" "L7296726" 30.368025 -81.403035 "Traveling" TRUE "2018-05-03" 8.5 120 3.219 1 0 0 0 0
"S45148038" "obs303920" "S45148038" FALSE "US-TN" "L7210736" 35.117991 -89.820086 "Traveling" TRUE "2018-05-01" 13.6833333333333 69 4.828 2 0 0 0 0
"S45217465" "obs533677" "S45217465" FALSE "US-NC" "L7328072" 34.7688325 -79.487114 "Traveling" TRUE "2018-05-01" 7.75 180 3.219 2 0 0 0 0
"S45228095" "obs226435" "S45228095" TRUE "US-MS" "L7327743" 33.4043611 -88.7106514 "Stationary" TRUE "2018-05-03" 16.75 20 0 2 1 NA NA 0
"S45228095" "obs226435" "S45228095" FALSE "US-MS" "L7327743" 33.4043611 -88.7106514 "Stationary" TRUE "2018-05-03" 16.75 20 0 2 NA 0 0 0
"S45157581" "obs977037" "S45157581" FALSE "US-TN" "L6566281" 35.073538 -88.690676 "Traveling" TRUE "2018-05-01" 18.9333333333333 31 0.483 1 0 0 0 0
"S45156137" "obs1074377" "S45156137" FALSE "US-FL" "L7244068" 30.587783 -84.263406 "Stationary" TRUE "2018-05-01" 19.8666666666667 1 0 1 0 0 0 0
"S45148212" "obs288444" "S45148212" FALSE "US-FL" "L7316247" 30.1005 -81.700642 "Stationary" TRUE "2018-05-01" 15.9 10 0 1 0 0 0 0
"S45216080" "obs198055" "S45216080" FALSE "US-MS" "L5753642" 34.3269942 -88.7101196 "Traveling" TRUE "2018-05-03" 11.6333333333333 6 0.322 1 0 0 0 0
"S45143444" "obs999216" "S45143444" FALSE "US-AL" "L7069166" 30.2982663 -87.5583833 "Traveling" TRUE "2018-05-01" 12 32 1.593 1 0 0 0 0
"S45192366" "obs751369" "S45192366" FALSE "US-VA" "L5960767" 37.581168 -77.226013 "Stationary" TRUE "2018-05-02" 19.2166666666667 6 0 1 0 0 0 0
"S45133676" "obs1019156" "S45133676" FALSE "US-VA" "L7026790" 37.5395161 -77.1843001 "Stationary" TRUE "2018-05-01" 7.83333333333333 10 0 1 0 0 0 0
