good,prop_data,run,n_checklists,n_sightings,mse,auc,threshold,kappa,sensitivity,specificity,n_checklists_log,n_sightings_log
TRUE,0.1,1,944,106,0.13272,0.54965,0.5,0.13112,0.13983,0.96002,2.974971994298069,2.0253058652647704
FALSE,0.1,1,6069,305,0.10579,0.69725,0.05,0.17654,0.43644,0.81091,3.7831171374904673,2.484299839346786
TRUE,0.2,1,1889,216,0.11458,0.77016,0.01,0.25426,0.37712,0.89735,3.2762319579218335,2.3344537511509307
FALSE,0.2,1,12138,554,0.10291,0.70739,0.03,0.18902,0.51271,0.77904,4.084147133154448,2.74350976472843
TRUE,0.30000000000000004,1,2833,308,0.10966,0.77516,0.01,0.29999,0.38983,0.91626,3.452246574520437,2.4885507165004443
FALSE,0.30000000000000004,1,18208,811,0.10003,0.72376,0.12,0.19397,0.3178,0.89087,4.260262244714977,2.909020854211156
TRUE,0.4,1,3778,402,0.10736,0.77238,0.05,0.2764,0.30508,0.94219,3.577261953585815,2.60422605308447
FALSE,0.4,1,24277,1135,0.10152,0.71842,0.09,0.20609,0.38983,0.86008,4.38519501831988,3.0549958615291417
TRUE,0.5,1,4722,505,0.10753,0.77908,0.01,0.30018,0.41525,0.90546,3.674125982742708,2.7032913781186614
FALSE,0.5,1,30346,1403,0.09811,0.72494,0.29,0.21694,0.22034,0.9557,4.482101453486599,3.1470576710283598
TRUE,0.6,1,5666,610,0.10631,0.79296,0.04,0.3154,0.38983,0.92382,3.7532765701844184,2.785329835010767
FALSE,0.6,1,36415,1679,0.09911,0.72181,0.06,0.22497,0.47881,0.82766,4.561280314290289,3.225050696138049
TRUE,0.7000000000000001,1,6611,727,0.10631,0.80255,0.02,0.30999,0.40678,0.9141,3.8202671571609645,2.8615344108590377
FALSE,0.7000000000000001,1,42484,1966,0.0986,0.73844,0.09,0.21865,0.39831,0.8644,4.6282254001672145,3.2935835134961167
TRUE,0.8,1,7555,826,0.10511,0.78413,0.2,0.31219,0.33051,0.94706,3.878234468675044,2.9169800473203824
FALSE,0.8,1,48554,2213,0.09812,0.73137,0.05,0.2176,0.5,0.81091,4.6862250139838615,3.344981413927258
TRUE,0.9,1,8500,937,0.10099,0.79437,0.07,0.3526,0.40678,0.93409,3.929418925714293,2.971739590887778
FALSE,0.9,1,54623,2534,0.09751,0.73868,0.06,0.22426,0.47034,0.83144,4.737375548745249,3.4038066105474227
TRUE,1,1,9444,1028,0.10344,0.80623,0.145,0.33182,0.36441,0.94165,3.9751559784066894,3.011993114659257
FALSE,1,1,60692,2807,0.09811,0.73654,0.05,0.21955,0.49576,0.81469,4.78313144915058,3.448242412634439
TRUE,0.1,2,944,101,0.12015,0.72918,0.01,0.2508,0.38983,0.88925,2.974971994298069,2.0043213737826426
FALSE,0.1,2,6069,289,0.10616,0.69157,0.06,0.15964,0.38136,0.82874,3.7831171374904673,2.4608978427565478
TRUE,0.2,2,1889,195,0.11044,0.71503,0.04,0.26849,0.29237,0.94435,3.2762319579218335,2.290034611362518
